TRAININGPACKAGE_ADVENTURER	36	34	34	37	36	43	44	45	46	45	46	46	45	45	45	43	41	45	44	43	43	43	45	45	35	39	35	37	36	36	37	37	35	37	36	33	34	35	36	40	44	44	37	36	33	39	37	36	46	46	37	45	46	46	46	38	37
TRAININGPACKAGE_ANIMAL_FRIEND	28	28	25	30	30	40	34	41	40	37	39	39	36	41	37	36	27	39	37	39	40	41	37	37	24	34	29	30	30	29	30	30	28	30	30	29	28	30	30	37	37	35	33	25	25	30	30	30	45	42	30	37	40	43	43	34	30
TRAININGPACKAGE_ASSASSIN	26	19	23	29	30	51	48	50	51	49	51	50	47	49	49	48	45	49	49	49	49	49	51	51	28	42	28	35	35	29	34	37	26	35	39	30	27	34	30	49	50	49	35	20	21	33	25	35	50	49	35	51	50	51	51	43	29
TRAININGPACKAGE_BERSERKER	29	35	34	41	37	56	59	59	59	59	59	59	59	53	59	52	51	52	54	50	50	49	59	59	38	34	38	47	47	42	42	42	39	48	50	39	42	42	31	54	59	59	34	29	34	40	33	47	58	54	45	59	59	59	58	34	34
TRAININGPACKAGE_BURGLAR	24	18	21	25	25	38	37	34	37	35	35	37	38	34	35	34	36	36	35	34	36	31	37	37	28	32	25	27	27	24	28	27	24	27	30	27	22	25	23	34	37	38	30	24	23	24	25	27	37	35	29	37	37	37	38	32	25
TRAININGPACKAGE_CITY_GUARD	19	21	20	27	24	35	38	39	39	39	39	39	39	32	39	32	32	32	35	34	34	32	40	40	24	24	24	29	29	24	26	25	24	30	27	25	24	25	22	32	39	38	24	21	23	25	21	29	39	37	28	40	39	39	39	24	22
TRAININGPACKAGE_CLOISTERED_ACADEMIC	31	31	30	31	27	24	22	24	24	21	24	24	21	24	24	24	24	24	24	24	24	24	24	24	28	28	28	28	28	26	28	23	24	28	28	28	27	28	31	21	22	22	28	33	28	19	28	28	24	24	28	24	24	24	24	28	27
TRAININGPACKAGE_CON_MAN	22	18	18	23	22	29	19	28	29	27	30	28	25	30	27	27	24	29	25	28	29	30	28	28	20	26	18	23	24	19	23	19	14	23	23	22	19	22	22	28	28	21	24	22	20	22	21	24	27	29	25	28	29	29	31	27	22
TRAININGPACKAGE_CRAFTER	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24
TRAININGPACKAGE_CRUSADING_ACADEMIC	33	34	34	35	31	36	31	34	36	32	36	36	32	32	36	33	32	33	33	34	34	33	36	36	34	32	33	36	36	31	34	26	26	37	35	34	31	34	34	30	32	31	32	36	30	26	30	36	37	34	37	36	36	38	39	34	30
TRAININGPACKAGE_CUT_PURSE	24	16	16	26	25	40	26	41	40	34	42	37	31	44	34	37	33	43	37	37	39	41	37	37	24	38	24	27	29	20	28	26	18	27	28	24	20	25	24	37	37	28	35	26	21	25	22	29	35	39	28	37	40	40	39	35	25
TRAININGPACKAGE_DETECTIVE	23	18	18	24	24	32	24	29	32	29	32	32	29	32	31	29	28	29	29	31	31	31	27	27	22	28	20	27	28	26	27	26	19	27	27	22	21	27	23	22	25	24	28	24	17	23	22	28	31	39	28	27	31	32	31	27	24
TRAININGPACKAGE_DIPLOMAT	29	29	29	29	26	27	19	25	27	22	27	27	22	27	27	26	25	26	24	27	27	27	26	26	29	28	28	29	29	26	29	19	18	29	29	29	25	29	29	20	21	19	28	33	25	21	26	29	27	28	31	26	27	27	28	29	26
TRAININGPACKAGE_DOCTOR	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
TRAININGPACKAGE_EXPLORER	30	29	29	31	31	37	37	37	37	37	37	37	37	36	37	34	34	37	35	35	35	34	37	37	30	31	30	32	32	31	32	31	30	32	32	30	30	30	30	34	37	37	31	30	28	32	30	32	37	38	32	37	37	37	37	31	30
TRAININGPACKAGE_GUARDIAN	38	40	38	50	43	53	52	53	55	55	55	55	55	49	55	48	45	48	51	51	50	50	54	54	35	42	43	51	51	47	49	45	42	51	48	42	49	47	49	50	50	52	42	34	35	46	40	51	57	53	50	54	55	58	56	43	40
TRAININGPACKAGE_HERBALIST	22	22	22	22	22	25	25	25	25	25	25	25	25	25	25	22	18	22	25	25	25	25	25	25	18	22	22	22	22	22	22	22	22	22	22	18	22	22	22	25	22	25	22	18	22	22	22	22	30	25	22	25	25	33	33	22	22
TRAININGPACKAGE_HIGHWAYMAN	21	23	22	25	24	32	35	35	36	35	36	36	35	33	36	30	26	30	34	33	33	32	36	36	20	24	24	27	26	25	25	25	25	27	25	21	25	25	22	32	32	35	24	16	22	24	23	26	41	33	26	36	36	44	44	24	23
TRAININGPACKAGE_HUNTER	34	30	30	36	35	47	42	48	47	46	48	47	45	46	46	41	33	44	45	46	46	47	45	45	28	39	32	37	37	34	35	35	31	37	36	32	31	35	34	43	45	43	37	30	30	35	34	37	49	49	36	45	47	50	50	39	34
TRAININGPACKAGE_KNIGHT	32	39	36	48	41	55	55	55	56	56	56	56	56	52	56	53	52	53	54	52	51	51	56	56	42	37	46	50	50	49	48	45	45	50	47	45	49	49	46	52	55	55	39	45	38	49	40	50	57	53	49	56	56	56	56	39	37
TRAININGPACKAGE_LOREMASTER	30	28	27	30	24	22	22	22	22	19	22	19	19	19	19	22	22	22	21	22	22	22	19	19	24	24	24	24	24	22	22	18	24	24	22	22	24	24	30	18	21	22	24	30	27	20	26	24	19	21	22	19	18	22	22	24	24
